Article,neuf_price,occasion_price,description
Nokia 230 Dual SIM silver EU,"69,98 €",N/A,"Ecran 2.8"" Double SIM"
Nokia 110 4 Mo Bleu de mer,"41,88 €",N/A,"Ecran 1.77"" Double SIM Couleur Bleu de mer"
Nokia 2720 Fold,59 €,N/A,"Ecran 1.8"" Single-SIM (SIM unique)"
Nokia C3-00 Blanc doré,"38,99 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Blanc doré"
Nokia 3410 Vert,11 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique) Couleur Vert"
Nokia 5310 XpressMusic,19 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
"Nokia 215 4G (Double SIM - 2.4"") Noir","55,60 €",N/A,"Ecran 3.8"" Réseau 4G Double SIM"
"Nokia 105 4G (Double SIM - 1.8"") Noir","35,50 €",N/A,"Ecran 3.8"" Réseau 4G Double SIM"
Nokia 130 Dark Blue Eu,"50,97 €",N/A,"Ecran 3.8"""
Nokia C02 32 Go Dual SIM Charbon,"91,53 €",N/A,"Ecran 3.8"" Double SIM"
Nokia 2330 Classic Noir,30 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
nokia telephone mobile flip 2.8 dual sim,"73,55 €",N/A,"Ecran 3.8"" Double SIM"
nokia telephone mobile 8210 4g,"73,99 €",60 €,"Ecran 3.8"" Réseau 4G"
Nokia G22 Pêche,128 €,N/A,"Ecran 6.52"" Mémoire 64 Go / RAM 4 Go Android 12 Couleur Pêche"
Nokia 3410 Turquoise,25 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
Nokia C32 Gris foncé,"88,99 €",N/A,"Ecran 6.52"" Mémoire 64 Go / RAM 3 Go Android 13 Couleur Gris foncé"
Nokia 3310 SFR bleu,89 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
NOKIA C12 64 Go Gris,80 €,N/A,"Ecran 3.8"""
nokia telephone mobile 6310,"71,79 €",N/A,"Ecran 3.8"""
Nokia C22 Beige,"138,90 €",N/A,"Ecran 6.52"" Mémoire 64 Go / RAM 2 Go Android 13 Couleur Beige"
Nokia C22 Gris foncé,"138,10 €",N/A,"Ecran 6.52"" Mémoire 64 Go / RAM 2 Go Android 13 Couleur Gris foncé"
nokia telephone mobile 5710 xpress,"83,28 €",N/A,"Ecran 3.8"""
Nokia 150 Noir,"53,99 €",N/A,"Ecran 2.4"" Couleur Noir"
Nokia 225 4G Noir,"75,99 €",N/A,"Ecran 2.4"" Réseau 4G Couleur Noir"
Nokia 106 (2018) Dual SIM Gris Foncé,25 €,N/A,"Ecran 3.8"" Double SIM"
Nokia 1680 C-2 Noir,10 €,N/A,"Ecran 3.8"" Single-SIM (SIM unique)"
