Article,neuf_price,occasion_price,description
Vivo Y67 4/32 Go Dual-SIM Or,"97,68 €",N/A,Mémoire 32 Go / RAM 4 Go Double SIM
Vivo Y93 64 Go Dual-SIM Rouge,"108,66 €",N/A,Mémoire 64 Go / RAM 4 Go Double SIM
Smartphone Vivo X90 Pro Noir 5G,"979,88 €",N/A,Réseau 5G Mémoire 256 Go / RAM 12 Go
Vivo Y17 128 Go Violet Mystique,"149,60 €",N/A,Mémoire 128 Go / RAM 4 Go
Vivo Y17 128 Go Bleu,"149,60 €",N/A,
Vivo Y16 128 Go Or étincelant,"150,76 €",N/A,"Ecran 6.51"" Réseau 4G Mémoire 128 Go / RAM 4 Go Funtouch OS 12 (basé sur Android 12) Helio P35 Double SIM Couleur Or étincelant"
Smartphone VIVO Pack Y33s Noir + Coque,259 €,N/A,Mémoire 128 Go / RAM 8 Go
Vivo X80 Pro 256 Go Noir Cosmique,"459,99 €",N/A,
VIVO Y22S 6 GO 128 GO STARLIT BLUE,"160,67 €",150 €,
Vivo Y16 128 Go Noir élégant,"150,76 €",100 €,"Ecran 6.51"" Réseau 4G Mémoire 128 Go / RAM 4 Go Funtouch OS 12 (basé sur Android 12) Helio P35 Double SIM Couleur Noir élégant"
VIVO Y22S 6 GO 128 GO SUMMER CYAN,"160,67 €",N/A,
"PACK SMARTPHONE VIVO Y72 6.58"" DOUBLE NANO SIM 5G 128 GO NOIR + ECOUTEURS SANS","307,99 €",N/A,Réseau 5G
VIVO Y35 8 GO 256 GO DAWN GOLD,"334,90 €",N/A,
Vivo Y35 256 Go Bleu nuit,230 €,N/A,"Ecran 6.58"" Réseau 4G Mémoire 256 Go / RAM 8 Go Funtouch OS 12 (basé sur Android 12) Snapdragon 680 Double SIM Couleur Bleu nuit"
Vivo Y01 4G 32 Go double SIM RAM 3 Go Noir,"81,27 €",N/A,Réseau 4G Double SIM
Vivo Y55 5G 128 Go Bleu vif,130 €,N/A,"Ecran 6.58"" Réseau 5G Mémoire 128 Go / RAM 4 Go Funtouch OS 12 (basé sur Android 11) Dimensity 700 Double SIM Couleur Bleu vif"
Vivo V23 5G 256 Go Or étincelant,"249,99 €",N/A,"Ecran 6.44"" Réseau 5G Mémoire 256 Go / RAM 12 Go Funtouch OS 12 Dimensity 920 Double SIM Couleur Or étincelant"
Vivo Y76 128 Go Noir,196 €,239 €,"Ecran 6.58"" Réseau 5G Mémoire 128 Go / RAM 8 Go Funtouch OS 12 Dimensity 700 Double SIM Couleur Espace de minuit"
Vivo V23 5G 256 Go Noir étoilé,667 €,N/A,"Ecran 6.44"" Réseau 5G Mémoire 256 Go / RAM 12 Go Funtouch OS 12 Dimensity 920 Double SIM Couleur Noir étoilé"
Vivo Y76 128 Go Bleu,"200,34 €",N/A,"Ecran 6.58"" Réseau 5G Mémoire 128 Go / RAM 8 Go Funtouch OS 12 Dimensity 700 Double SIM Couleur Aurore cosmique"
Vivo Y55 5G 128 Go Noir nébuleux,159 €,N/A,"Ecran 6.58"" Réseau 5G Mémoire 128 Go / RAM 4 Go Funtouch OS 12 (basé sur Android 11) Dimensity 700 Double SIM Couleur Noir nébuleux"
Vivo Y21 64 Go Bleu nuit,"134,60 €",N/A,"Ecran 6.51"" Réseau 4G Mémoire 64 Go / RAM 4 Go Funtouch OS 11.1 (based on Android 11) Helio P35 Double SIM Couleur Bleu nuit"
Vivo Y33s Dual-SIM 128 Go Noir,"181,63 €",N/A,Mémoire 128 Go / RAM 8 Go Double SIM
